

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Total Non Current Assets                             23487000000.0  22118000000.0  20720000000.0  14471000000.0
Other Non Current Assets                              5813000000.0   5217000000.0   4515000000.0   3640000000.0
Non Current Deferred Assets                           1355000000.0   1151000000.0    486000000.0    491000000.0
Non Current Deferred Taxes Assets                     1355000000.0   1151000000.0    486000000.0    491000000.0
Non Current Accounts Receivable                        783000000.0    633000000.0    645000000.0    553000000.0
Investments And Advances                              1729000000.0   1730000000.0   1834000000.0   1172000000.0
Investmentin Financial Assets                         1729000000.0   1730000000.0   1834000000.0   1172000000.0
Available For Sale Securities                         1729000000.0   1730000000.0   1834000000.0   1172000000.0
Goodwill And Other Intangible Assets                 11746000000.0  11381000000.0  11333000000.0   6713000000.0
Other Intangible Assets                               4086000000.0   3859000000.0   3671000000.0   1753000000.0
Goodwill                                              7660000000.0   7522000000.0   7662000000.0   4960000000.0
Net PPE                                               2061000000.0   2006000000.0   1907000000.0   1902000000.0
Accumulated Depreciation                             -2237000000.0  -1904000000.0  -1614000000.0  -1390000000.0
Gross PPE                                             4298000000.0   3910000000.0   3521000000.0   3292000000.0
Leases                                                 398000000.0    376000000.0    371000000.0    380000000.0
Other Properties                                      3132000000.0   2786000000.0   2439000000.0   2291000000.0
Machinery Furniture Equipment                           90000000.0     96000000.0     96000000.0     99000000.0
Buildings And Improvements                             678000000.0    652000000.0    615000000.0    522000000.0
Properties                                                     0.0            0.0            0.0            0.0
Current Assets                                       18961000000.0  16606000000.0  16949000000.0  19113000000.0
Other Current Assets                                  3876000000.0   3616000000.0   3498000000.0   1805000000.0
Restricted Cash                                       1845000000.0   2157000000.0   2459000000.0   2282000000.0
Prepaid Assets                                                 NaN     34000000.0     92000000.0     78000000.0
Receivables                                           4060000000.0   3425000000.0   3006000000.0   4352000000.0
Other Receivables                                              NaN            NaN   1319000000.0   1706000000.0
Accounts Receivable                                   4060000000.0   3425000000.0   3006000000.0   2646000000.0
Cash Cash Equivalents And Short Term Investments      9180000000.0   7408000000.0   7894000000.0  10596000000.0
Other Short Term Investments                           592000000.0    400000000.0    473000000.0    483000000.0
Cash And Cash Equivalents                             8588000000.0   7008000000.0   7421000000.0  10113000000.0



UNH Financials(Income Statement/Balance Sheet):
